"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","550","Create user","LMS service","Tue Dec 02 09:55:21 UTC 2025","passed","Tue Dec 02 09:55:22 UTC 2025","Create entity","Users","",""
"","287","Delete exercise","LMS service","Tue Dec 02 09:55:18 UTC 2025","passed","Tue Dec 02 09:55:18 UTC 2025","Delete entity","Exercises","",""
"","268","Create file with empty directory","LMS service","Tue Dec 02 09:55:21 UTC 2025","passed","Tue Dec 02 09:55:21 UTC 2025","Validate entity","Files","",""
"","262","Create file with empty filename","LMS service","Tue Dec 02 09:55:20 UTC 2025","passed","Tue Dec 02 09:55:21 UTC 2025","Validate entity","Files","",""
"","27","Get courses","LMS service","Tue Dec 02 09:55:14 UTC 2025","passed","Tue Dec 02 09:55:14 UTC 2025","Get entities","Courses","",""
"","551","Login with correct email and password","LMS service","Tue Dec 02 09:55:13 UTC 2025","passed","Tue Dec 02 09:55:14 UTC 2025","Login","Authentication","",""
"","19","Get exercises","LMS service","Tue Dec 02 09:55:18 UTC 2025","passed","Tue Dec 02 09:55:18 UTC 2025","Get entities","Exercises","",""
"","259","Create file","LMS service","Tue Dec 02 09:55:19 UTC 2025","passed","Tue Dec 02 09:55:19 UTC 2025","Create entity","Files","",""
"","19","Get exercise","LMS service","Tue Dec 02 09:55:17 UTC 2025","passed","Tue Dec 02 09:55:17 UTC 2025","Get entity","Exercises","",""
"","538","Create user","LMS service","Tue Dec 02 09:55:22 UTC 2025","passed","Tue Dec 02 09:55:22 UTC 2025","Create entity","Users","",""
"","27","Create course","LMS service","Tue Dec 02 09:55:15 UTC 2025","passed","Tue Dec 02 09:55:15 UTC 2025","Create entity","Courses","",""
"","286","Create user","LMS service","Tue Dec 02 09:55:22 UTC 2025","passed","Tue Dec 02 09:55:22 UTC 2025","Create entity","Users","",""
"","19","Delete file","LMS service","Tue Dec 02 09:55:22 UTC 2025","passed","Tue Dec 02 09:55:22 UTC 2025","Delete entity","Files","",""
"","290","Update exercise","LMS service","Tue Dec 02 09:55:17 UTC 2025","passed","Tue Dec 02 09:55:17 UTC 2025","Update entity","Exercises","",""
"","12","Get user me","LMS service","Tue Dec 02 09:55:23 UTC 2025","passed","Tue Dec 02 09:55:23 UTC 2025","Get entity","Users","",""
"","20","Create exercise","LMS service","Tue Dec 02 09:55:16 UTC 2025","passed","Tue Dec 02 09:55:16 UTC 2025","Create entity","Exercises","",""
"","264","Get file with incorrect file id","LMS service","Tue Dec 02 09:55:20 UTC 2025","passed","Tue Dec 02 09:55:20 UTC 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Tue Dec 02 09:55:20 UTC 2025","passed","Tue Dec 02 09:55:20 UTC 2025","Get entity","Files","",""
"","30","Update course","LMS service","Tue Dec 02 09:55:15 UTC 2025","passed","Tue Dec 02 09:55:15 UTC 2025","Update entity","Courses","",""
